CouncilArea,avgPrice
Banyule City Council,891986.1244
Bayside City Council,1485623.208
Boroondara City Council,1597074.941
Brimbank City Council,662597.3648
Cardinia Shire Council,541186.3636
Casey City Council,636489.2086
Darebin City Council,891135.6497
Frankston City Council,638717.552
Glen Eira City Council,1094554.951
Greater Dandenong City Council,678820.0837
Hobsons Bay City Council,1018291.972
Hume City Council,589503.4
Kingston City Council,916122.8729
Knox City Council,848550.4685
Macedon Ranges Shire Council,745304.878
Manningham City Council,1192121.712
Maribyrnong City Council,808493.0909
Maroondah City Council,864181.5558
Melbourne City Council,1024938.37
Melton City Council,528943.8295
Mitchell Shire Council,524000
Monash City Council,1145804.216
Moonee Valley City Council,1051954.499
Moorabool Shire Council,508666.6667
Moreland City Council,862820.0769
Nillumbik Shire Council,703981.9277
Port Phillip City Council,1115104.284
Stonnington City Council,1527348.384
Whitehorse City Council,1091794.96
Whittlesea City Council,601987.338
Wyndham City Council,549578.1906
Yarra City Council,1100295.115
Yarra Ranges Shire Council,758892.2414
