,,Year,,
Month,MonthM,2016,2017,2018
1,Jan,791200,,947834.926
2,Feb,742379.2135,979943.9812,988639.676
3,Mar,,1038974.12,1080313.629
4,Apr,904042.5939,962035.3465,934084.1382
5,May,950964.3557,1052220.692,1060612.738
6,Jun,949654.6839,1075446.087,981433.4904
7,Jul,876816.0975,877394.6766,863357.9658
8,Aug,964996.5655,1102766.142,984918.9605
9,Sep,986699.2511,1056204.394,1061225.795
10,Nov,973415.0766,1065097.712,902122.1881
11,Oct,998917.1408,1046779.706,
12,Dec,1029927.016,969171.2408,
