,SellerG,avgPrice,avgdist,count
1,@Realty,748928.5714,17.08571429,21
2,Barry,834972.823,15.03466169,4818
3,Bayside,1020595.238,17.06190476,21
4,Buckingham,803305.283,15.74,265
5,Century,799366.6667,17.77666667,30
9,Eview,757954.8696,19.1468599,207
10,Flannagan,824981.4815,15.8,27
11,FN,682828.8,19.168,125
12,HAR,661714.1401,18.30397924,578
13,Harcourts,860943.1568,18.10866228,912
14,Hodges,1150128.244,15.18092567,713
15,Jason,641748,15.9136,125
17,Morrison,907440.9243,17.39322709,251
19,OBrien,989857.3667,18.32,30
20,Philip,984661.6222,17.79851852,270
21,Prof.,682613.8941,17.25176471,170
22,Professionals,554941.1765,19.37647059,34
23,Ray,808559.7205,16.94377224,3653
25,RW,766625.6529,15.45,484
26,Stockdale,705358.2136,15.74083694,693
