"","Suburb","avgPrice"
"1","Abbotsford",1115622.44897959
"2","Aberfeldie",1217947.36842105
"3","Airport West",776098.848837209
"4","Albanvale",483071.428571429
"5","Albert Park",1933444.44444444
"6","Albion",654676.333333333
"7","Alphington",1430709.67741935
"8","Altona",843845.454545455
"9","Altona Meadows",653586.956521739
"10","Altona North",797801.587301587
"11","Ardeer",608691.176470588
"12","Armadale",1413226.02739726
"13","Ascot Vale",1039444.33962264
"14","Ashburton",1682120.68965517
"15","Ashwood",1159800
"16","Aspendale",961508.967741936
"17","Aspendale Gardens",895152.173913043
"18","Attwood",712062.5
"19","Avondale Heights",872000
"20","Bacchus Marsh",435400
"21","Balaclava",772166.666666667
"22","Balwyn",1794748.36065574
"23","Balwyn North",1736636.23188406
"24","Bayswater",731684.615384615
"25","Bayswater North",761460
"26","Beaconsfield",580250
"27","Beaumaris",1509661.61616162
"28","Bellfield",825214.285714286
"29","Bentleigh",1255751.15217391
"30","Bentleigh East",1128038.22222222
"31","Berwick",763454.545454545
"32","Black Rock",1663911.11111111
"33","Blackburn",1221154.92957746
"34","Blackburn North",1104528.84615385
"35","Blackburn South",1131653.22580645
"36","Bonbeach",762125
"37","Boronia",770521.255319149
"38","Botanic Ridge",825000
"39","Box Hill",1308920.20512821
"40","Braybrook",694333.333333333
"41","Briar Hill",790454.545454545
"42","Brighton",2013868.42105263
"43","Brighton East",1674315.38461538
"44","Broadmeadows",543755.813953488
"45","Brookfield",445000
"46","Brooklyn",583921.052631579
"47","Brunswick",959013.730569948
"48","Brunswick East",991085.714285714
"49","Brunswick West",837363.809523809
"50","Bulleen",1120640.74074074
"51","Bullengarook",761666.666666667
"52","Bundoora",739283.112582781
"53","Burnley",1016001.66666667
"54","Burnside",571900
"55","Burnside Heights",623000
"56","Burwood",1206206.49350649
"57","Burwood East",1114550
"58","Cairnlea",677000
"59","Camberwell",1721757.93103448
"60","Campbellfield",451666.666666667
"61","Canterbury",2183966.66666667
"62","Carlton",1173177.09756098
"63","Carlton North",1442904.76190476
"64","Carnegie",819733.418803419
"65","Caroline Springs",629745.787878788
"66","Carrum",744954.545454545
"67","Carrum Downs",505775
"68","Caulfield",875958.333333333
"69","Caulfield East",1161750
"70","Caulfield North",906983.870967742
"71","Caulfield South",1292456.52173913
"72","Chadstone",984013.157894737
"73","Chelsea",771981.25
"74","Chelsea Heights",733499.411764706
"75","Cheltenham",970150.274611399
"76","Chirnside Park",715583.333333333
"77","Clarinda",819903.846153846
"78","Clayton",1075481.34042553
"79","Clayton South",807696.078431373
"80","Clifton Hill",1211049.01960784
"81","Clyde North",632000
"82","Coburg",923342.97005988
"83","Coburg North",819969.135802469
"84","Cockatoo",397000
"85","Collingwood",964840
"86","Coolaroo",483333.333333333
"87","Craigieburn",545934.389380531
"88","Cranbourne",589850
"89","Cranbourne East",561500
"90","Cranbourne North",635400
"91","Cranbourne West",535750
"92","Cremorne",1099333.33333333
"93","Croydon",769901.151162791
"94","Croydon Hills",856333.333333333
"95","Croydon North",819400
"96","Croydon South",828708.333333333
"97","Dallas",509906.714285714
"98","Dandenong",589250
"99","Dandenong North",630436.170212766
"100","Deepdene",2467266.66666667
"101","Deer Park",540368.571428571
"102","Delahey",531851.851851852
"103","Derrimut",711733.333333333
"104","Diamond Creek",737333.333333333
"105","Diggers Rest",501500
"106","Dingley Village",892287.878787879
"107","Docklands",791666.666666667
"108","Doncaster",1323228.84615385
"109","Doncaster East",1226185.43478261
"110","Donvale",1134473.01587302
"111","Doreen",592841.463414634
"112","Doveton",487500
"113","Eaglemont",1715647.05882353
"114","East Melbourne",1531882.35294118
"115","Edithvale",937487.804878049
"116","Elsternwick",1178656.77966102
"117","Eltham",912189.772727273
"118","Eltham North",892783.9
"119","Elwood",965810.738317757
"120","Emerald",506666.666666667
"121","Endeavour Hills",650586.956521739
"122","Epping",548013.823529412
"123","Essendon",1160056.54761905
"124","Essendon North",724000
"125","Essendon West",1204631.57894737
"126","Eumemmerring",548666.666666667
"127","Eynesbury",424250
"128","Fairfield",1010568.18181818
"129","Fawkner",656005.617977528
"130","Ferntree Gully",756652.925925926
"131","Ferny Creek",690000
"132","Fitzroy",1186230.76923077
"133","Fitzroy North",1313020.34883721
"134","Flemington",780260.416666667
"135","Footscray",711632.478632479
"136","Forest Hill",962715.517241379
"137","Frankston",657621.824561403
"138","Frankston North",466218.75
"139","Frankston South",836375
"140","Gardenvale",1025500
"141","Gisborne",711057.692307692
"142","Gisborne South",1462500
"143","Gladstone Park",629713.114754098
"144","Glen Huntly",744600
"145","Glen Iris",1523312.12121212
"146","Glen Waverley",1292863.99453552
"147","Glenroy",688676.473404255
"148","Gowanbrae",719900
"149","Greensborough",762761.363636364
"150","Greenvale",817322.666666667
"151","Hadfield",697926.724137931
"152","Hallam",727785.714285714
"153","Hampton",1645832.56880734
"154","Hampton East",1105089.74358974
"155","Hampton Park",480142.857142857
"156","Hawthorn",1112680.98159509
"157","Hawthorn East",1377892.3908046
"158","Healesville",940000
"159","Heatherton",714375
"160","Heathmont",914413.953488372
"161","Heidelberg",873041.666666667
"162","Heidelberg Heights",794617.164179104
"163","Heidelberg West",648761.111111111
"164","Highett",1038531.39534884
"165","Hillside",664309.041666667
"166","Hoppers Crossing",555583.636363636
"167","Hughesdale",1111287.87878788
"168","Huntingdale",846178.571428571
"169","Hurstbridge",695000
"170","Ivanhoe",1232083.33333333
"171","Ivanhoe East",1739533.33333333
"172","Jacana",507942.307692308
"173","Kalkallo",448000
"174","Kallista",1080000
"175","Kealba",598441.176470588
"176","Keilor",767816.666666667
