"","Distance","Type","avgPrice","count"
"1",0,"h",1630000,1
"2",0,"u",768943.203883495,206
"3",0.7,"h",911666.666666667,3
"4",0.7,"u",642560.975609756,82
"5",1.3,"h",2727307.69230769,13
"6",1.3,"t",1350000,1
"7",1.3,"u",948101.621621622,37
"8",1.4,"t",1370000,1
"9",1.4,"u",611125,8
"10",1.6,"h",1705914.03508772,57
"11",1.6,"t",1202340,5
"12",1.6,"u",723435.534482759,58
"13",1.8,"h",1639142.85714286,84
"14",1.8,"t",962000,26
"15",1.8,"u",668865.389380531,113
"16",1.9,"h",1630183.76068376,117
"17",1.9,"t",1308200,10
"18",1.9,"u",772228.571428571,70
"19",2,"h",1111398.30508475,59
"20",2,"t",944000,12
"21",2,"u",739340.298507463,67
"22",2.1,"h",1692051.28205128,78
"23",2.1,"t",1036750,12
"24",2.1,"u",767117.1875,64
"25",2.4,"h",1369781.37305699,386
"26",2.4,"t",1151610.29411765,68
"27",2.4,"u",609918.039215686,255
"28",2.7,"h",2028847.16981132,106
"29",2.7,"t",1448833.33333333,24
"30",2.7,"u",719707.679738562,306
"31",3,"h",1884916.33466135,251
"32",3,"t",1165941.17647059,17
"33",3,"u",714712.121212121,66
"34",3.1,"h",1626650,20
"35",3.1,"t",1112714.28571429,14
"36",3.1,"u",632290.322580645,31
"37",3.4,"h",1117125.68306011,183
"38",3.4,"t",814735.135135135,74
"39",3.4,"u",461059.32231405,121
"40",3.5,"h",1565657.89473684,304
"41",3.5,"t",1402312.5,24
"42",3.5,"u",909085.966480447,179
"43",3.6,"h",1519120.93862816,277
"44",3.6,"t",1001500,31
"45",3.6,"u",617594.594594595,74
"46",4,"h",1211786.40776699,103
"47",4,"t",851032.258064516,31
"48",4,"u",499936.507936508,63
"49",4.1,"h",3447756.75675676,74
"50",4.1,"t",1634090.90909091,22
"51",4.1,"u",910340.294964029,139
"52",4.3,"h",1190993.34065934,364
"53",4.3,"t",730219.827586207,116
"54",4.3,"u",477408.165289256,121
"55",4.6,"h",1624241.37931034,203
"56",4.6,"t",1457346.15384615,13
"57",4.6,"u",601301.97044335,203
"58",5,"h",1672268.8172043,93
"59",5,"t",1146166.66666667,9
"60",5,"u",570550,308
"61",5.1,"h",1001356,250
"62",5.1,"t",715918.032786885,61
"63",5.1,"u",424285.714285714,126
"64",5.2,"h",1150872.92490119,506
"65",5.2,"t",761166.666666667,102
"66",5.2,"u",490725.113122172,221
"67",5.3,"h",1702645.09803922,510
"68",5.3,"t",974927.272727273,55
"69",5.3,"u",599524.305555556,360
"70",5.4,"h",2295320.07575758,264
"71",5.4,"t",1130264.28571429,42
"72",5.4,"u",705048.387096774,124
"73",5.7,"h",1492742.42424242,132
"74",5.7,"t",878000,17
"75",5.7,"u",523435.714285714,56
"76",5.9,"h",2726451.92307692,104
"77",5.9,"t",1324222.22222222,9
"78",5.9,"u",890396.49122807,57
"79",6.2,"h",1373909.25349922,643
"80",6.2,"t",946504.464285714,112
"81",6.2,"u",597162.788990826,218
"82",6.3,"h",1449486.4498645,369
"83",6.3,"t",988821.428571429,42
"84",6.3,"u",612420.725352113,142
