"","Distance","Type","avgPrice","count"
"1",0,"h",1630000,1
"2",0,"u",768943.203883495,206
"3",1.3,"h",2727307.69230769,13
"4",1.3,"t",1350000,1
"5",1.3,"u",948101.621621622,37
"6",1.6,"h",1705914.03508772,57
"7",1.6,"t",1202340,5
"8",1.6,"u",723435.534482759,58
"9",1.9,"h",1630183.76068376,117
"10",1.9,"t",1308200,10
"11",1.9,"u",772228.571428571,70
"12",2.7,"h",2028847.16981132,106
"13",2.7,"t",1448833.33333333,24
"14",2.7,"u",719707.679738562,306
"15",3.6,"h",1519120.93862816,277
"16",3.6,"t",1001500,31
"17",3.6,"u",617594.594594595,74
"18",4.6,"h",1624241.37931034,203
"19",4.6,"t",1457346.15384615,13
"20",4.6,"u",601301.97044335,203
"21",5.7,"h",1492742.42424242,132
"22",5.7,"t",878000,17
"23",5.7,"u",523435.714285714,56
"24",6.7,"h",965643.714851485,505
"25",6.7,"t",688265.625,96
"26",6.7,"u",560047.368421053,57
"27",7.7,"h",2180270.27027027,259
"28",7.7,"t",1417668.57142857,35
"29",7.7,"u",810765.853658537,82
"30",8.7,"h",1397032.96703297,91
"31",8.7,"t",1434470.58823529,17
"32",8.7,"u",553833.333333333,39
"33",9.7,"h",1881711.9266055,327
"34",9.7,"t",1280166.66666667,42
"35",9.7,"u",999421.052631579,38
"36",10.8,"h",1227686.24460432,139
"37",10.8,"t",1046709.52380952,21
"38",10.8,"u",768882.352941177,17
"39",12,"h",792920.735294118,680
"40",12,"t",593678.475308642,162
"41",12,"u",488060.026666667,225
"42",13.8,"h",1406199.17350158,634
"43",13.8,"t",1194608.99354839,310
"44",13.8,"u",727598.387096774,155
"48",17.2,"h",1082697.10406091,394
"49",17.2,"t",846957.777777778,45
"50",17.2,"u",720867.123287671,73
"51",19.6,"h",579371.978021978,364
"52",19.6,"t",449156.25,16
"53",19.6,"u",387274.390243902,41
"54",22.2,"h",869946.017699115,226
"55",22.2,"t",736277.777777778,9
"56",22.2,"u",624431.818181818,22
"57",31.2,"h",849379.310344828,58
"58",31.2,"t",696552.631578947,19
"59",31.2,"u",590850,30
